grouping,group_a,group_b,n_a,n_b,test,statistic,p_value
genre,Documentary,Animation,26519,12273,logrank,2323.66565799209,0.0
genre,Reality-TV,Animation,20845,12273,logrank,2334.1342374461074,0.0
genre,Reality-TV,Family,20845,11348,logrank,1911.632861028962,0.0
genre,Drama,Documentary,28279,26519,logrank,2182.6196657463174,0.0
genre,Drama,Reality-TV,28279,20845,logrank,2220.452321357393,0.0
genre,Documentary,Family,26519,11348,logrank,1844.1825662566275,0.0
genre,Comedy,Reality-TV,44304,20845,logrank,1147.5501161965271,1.5287448689988732e-251
genre,Comedy,Documentary,44304,26519,logrank,1063.3354417164514,3.074964251440233e-233
genre,Animation,News,12273,8045,logrank,1020.959509337464,4.994256966849041e-224
genre,Talk-Show,Animation,20629,12273,logrank,835.4397092390366,1.0642321360578001e-183
genre,Family,News,11348,8045,logrank,755.1096131608832,3.1073680699986786e-166
genre,Drama,News,28279,8045,logrank,705.774631677109,1.6595099371149258e-155
genre,Drama,Talk-Show,28279,20629,logrank,596.7925723163189,8.345323322393344e-132
genre,Comedy,Animation,44304,12273,logrank,575.1510184781124,4.254421157660562e-127
genre,Talk-Show,Family,20629,11348,logrank,529.9007910658166,2.968467330800163e-117
genre,Reality-TV,Talk-Show,20845,20629,logrank,501.37498902918855,4.773107869040404e-111
genre,Documentary,Talk-Show,26519,20629,logrank,416.4628508967352,1.4366674979351371e-92
genre,Comedy,Drama,44304,28279,logrank,386.6634702647472,4.4081029715370156e-86
genre,Comedy,Family,44304,11348,logrank,347.0228434024732,1.8856689114996624e-77
genre,Comedy,News,44304,8045,logrank,287.7385523362691,1.5463643766173998e-64
rating_group,Medium,High,26036,25128,logrank,283.0424206989349,1.6315955500244004e-63
rating_group,Low,Medium,27489,26036,logrank,178.5484156277808,1.0054651469926304e-40
genre,Talk-Show,News,20629,8045,logrank,126.39615429683006,2.5184099599323627e-29
genre,Comedy,Talk-Show,44304,20629,logrank,84.95785429584522,3.0479308440446817e-20
genre,Drama,Animation,28279,12273,logrank,58.6566936946772,1.8772836565923294e-14
genre,Reality-TV,News,20845,8045,logrank,37.194073328387226,1.0693829314251632e-09
genre,Animation,Family,12273,11348,logrank,20.915769597958853,4.79927365562999e-06
genre,Documentary,Reality-TV,26519,20845,logrank,19.725649938442512,8.939344087708125e-06
genre,Documentary,News,26519,8045,logrank,15.90568804951086,6.65783265389543e-05
genre,Drama,Family,28279,11348,logrank,14.32142610757932,0.00015410090033360984
rating_group,Low,High,27489,25128,logrank,13.387435518388385,0.0002533155023839192
